"Municipio";"Populacao_residente"
"110001 ALTA FLORESTA D'OESTE";22853
"110002 ARIQUEMES";108573
"110003 CABIXI";5690
"110004 CACOAL";97637
"110005 CEREJEIRAS";16975
"110006 COLORADO DO OESTE";16588
"110007 CORUMBIARA";8001
"110008 COSTA MARQUES";13522
"110009 ESPIGAO D'OESTE";32717
"110010 GUAJARA-MIRIM";43553
"110011 JARU";55583
"110012 JI-PARANA";139359
"110013 MACHADINHO D'OESTE";34063
"110014 NOVA BRASILANDIA D'OESTE";16504
"110015 OURO PRETO DO OESTE";38681
"110018 PIMENTA BUENO";39053
"110020 PORTO VELHO";514873
"110025 PRESIDENTE MEDICI";20518
"110026 RIO CRESPO";3753
"110028 ROLIM DE MOURA";62559
"110029 SANTA LUZIA D'OESTE";7877
"110030 VILHENA";108528
"110032 SAO MIGUEL DO GUAPORE";22267
"110033 NOVA MAMORE";28496
"110034 ALVORADA D'OESTE";13837
"110037 ALTO ALEGRE DOS PARECIS";12263
"110040 ALTO PARAISO";17463
"110045 BURITIS";30729
"110050 NOVO HORIZONTE DO OESTE";8056
"110060 CACAULANDIA";4345
"110070 CAMPO NOVO DE RONDONIA";9225
"110080 CANDEIAS DO JAMARI";24163
"110090 CASTANHEIRAS";3456
"110092 CHUPINGUAIA";10129
"110094 CUJUBIM";15883
"110100 GOVERNADOR JORGE TEIXEIRA";8420
"110110 ITAPUA DO OESTE";9209
"110120 MINISTRO ANDREAZZA";6657
"110130 MIRANTE DA SERRA";9740
"110140 MONTE NEGRO";12241
"110143 NOVA UNIAO";6577
"110145 PARECIS";4390
"110146 PIMENTEIRAS DO OESTE";2311
"110147 PRIMAVERA DE RONDONIA";3279
"110148 SAO FELIPE D'OESTE";5605
"110149 SAO FRANCISCO DO GUAPORE";17511
"110150 SERINGUEIRAS";12954
"110155 TEIXEIROPOLIS";4536
"110160 THEOBROMA";8540
"110170 URUPA";11377
"110175 VALE DO ANARI";8265
"110180 VALE DO PARAISO";6843
"120001 ACRELANDIA";14657
"120005 ASSIS BRASIL";8573
"120010 BRASILEIA";27841
"120013 BUJARI";13766
"120017 CAPIXABA";10922
"120020 CRUZEIRO DO SUL";98382
"120025 EPITACIOLANDIA";19739
"120030 FEIJO";37644
"120032 JORDAO";9787
"120033 MANCIO LIMA";20329
"120034 MANOEL URBANO";12776
"120035 MARECHAL THAUMATURGO";17951
"120038 PLACIDO DE CASTRO";17127
"120039 PORTO WALTER";11275
"120040 RIO BRANCO";387852
"120042 RODRIGUES ALVES";15537
"120043 SANTA ROSA DO PURUS";7143
"120045 SENADOR GUIOMARD";22352
"120050 SENA MADUREIRA";43916
"120060 TARAUACA";46517
"120070 XAPURI";19090
"120080 PORTO ACRE";17455
"130002 ALVARAES";16670
"130006 AMATURA";11411
"130008 ANAMA";10318
"130010 ANORI";17932
"130014 APUI";21735
"130020 ATALAIA DO NORTE";15892
"130030 AUTAZES";45328
"130040 BARCELOS";18626
"130050 BARREIRINHA";33436
"130060 BENJAMIN CONSTANT";40509
"130063 BERURI";22136
"130068 BOA VISTA DO RAMOS";25769
"130070 BOCA DO ACRE";38246
"130080 BORBA";34879
"130083 CAAPIRANGA";14310
"130090 CANUTAMA";17885
"130100 CARAUARI";30892
"130110 CAREIRO";32442
"130115 CAREIRO DA VARZEA";19809
"130120 COARI";73820
"130130 CODAJAS";24451
"130140 EIRUNEPE";35534
"130150 ENVIRA";17920
"130160 FONTE BOA";27875
"130165 GUAJARA";14332
"130170 HUMAITA";62312
"130180 IPIXUNA";25458
"130185 IRANDUBA";67114
"130190 ITACOATIARA";112520
"130195 ITAMARATI";11730
"130200 ITAPIRANGA";10805
"130210 JAPURA";9397
"130220 JURUA";11152
"130230 JUTAI";27656
"130240 LABREA";48927
"130250 MANACAPURU";110691
"130255 MANAQUIRI";17009
"130260 MANAUS";2279686
"130270 MANICORE";57758
"130280 MARAA";15843
"130290 MAUES";65714
"130300 NHAMUNDA";21106
